Site,Transect,Pit,Species,Month,ug_cm2_month,Year
Hungerford,Dry,1,Ammonium,December,0.25,2021
Hungerford,Dry,1,Ammonium,January,8.1,2022
Hungerford,Dry,1,Ammonium,February,8.1,2022
Hungerford,Dry,1,Ammonium,March,8.1,2022
Hungerford,Dry,1,Ammonium,April,8.1,2022
Hungerford,Dry,1,Ammonium,May,,2022
Hungerford,Dry,1,Ammonium,June,1.11,2022
Hungerford,Dry,1,Ammonium,July,1.01,2022
Hungerford,Dry,1,Ammonium,August,13.2,2022
Hungerford,Dry,1,Ammonium,September,,2022
Hungerford,Dry,1,Ammonium,October,2.31,2022
Hungerford,Dry,1,Ammonium,November,5.38,2022
Hungerford,Dry,1,Ammonium,December,28.89,2022
Hungerford,Dry,1,Ammonium,January,28.89,2023
Hungerford,Dry,1,Ammonium,February,111.89,2023
Hungerford,Dry,1,Ammonium,March,12.12,2023
Hungerford,Dry,1,Ammonium,April,12.12,2023
Hungerford,Dry,1,Ammonium,May,20.23,2023
Hungerford,Dry,1,Nitrate,December,1.03,2021
Hungerford,Dry,1,Nitrate,January,,2022
Hungerford,Dry,1,Nitrate,February,,2022
Hungerford,Dry,1,Nitrate,March,,2022
Hungerford,Dry,1,Nitrate,April,,2022
Hungerford,Dry,1,Nitrate,May,,2022
Hungerford,Dry,1,Nitrate,June,13.87,2022
Hungerford,Dry,1,Nitrate,July,15.11,2022
Hungerford,Dry,1,Nitrate,August,13.45,2022
Hungerford,Dry,1,Nitrate,September,,2022
Hungerford,Dry,1,Nitrate,October,21.67,2022
Hungerford,Dry,1,Nitrate,November,118.25,2022
Hungerford,Dry,1,Nitrate,December,78.38,2022
Hungerford,Dry,1,Nitrate,January,78.38,2023
Hungerford,Dry,1,Nitrate,February,43.45,2023
Hungerford,Dry,1,Nitrate,March,43.45,2023
Hungerford,Dry,1,Nitrate,April,43.45,2023
Hungerford,Dry,1,Nitrate,May,35.84,2023
Hungerford,Dry,2,Ammonium,December,275.21,2021
Hungerford,Dry,2,Ammonium,January,,2022
Hungerford,Dry,2,Ammonium,February,,2022
Hungerford,Dry,2,Ammonium,March,,2022
Hungerford,Dry,2,Ammonium,April,,2022
Hungerford,Dry,2,Ammonium,May,6.36,2022
Hungerford,Dry,2,Ammonium,June,10.88,2022
Hungerford,Dry,2,Ammonium,July,0.6,2022
Hungerford,Dry,2,Ammonium,August,3.34,2022
Hungerford,Dry,2,Ammonium,September,2.91,2022
Hungerford,Dry,2,Ammonium,October,12.91,2022
Hungerford,Dry,2,Ammonium,November,4.35,2022
Hungerford,Dry,2,Ammonium,December,,2022
Hungerford,Dry,2,Ammonium,January,,2023
Hungerford,Dry,2,Ammonium,February,,2023
Hungerford,Dry,2,Ammonium,March,,2023
Hungerford,Dry,2,Ammonium,April,,2023
Hungerford,Dry,2,Ammonium,May,,2023
Hungerford,Dry,2,Nitrate,December,9.8,2021
Hungerford,Dry,2,Nitrate,January,38.31,2022
Hungerford,Dry,2,Nitrate,February,38.31,2022
Hungerford,Dry,2,Nitrate,March,38.31,2022
Hungerford,Dry,2,Nitrate,April,38.31,2022
Hungerford,Dry,2,Nitrate,May,54.03,2022
Hungerford,Dry,2,Nitrate,June,36.82,2022
Hungerford,Dry,2,Nitrate,July,26.09,2022
Hungerford,Dry,2,Nitrate,August,23.65,2022
Hungerford,Dry,2,Nitrate,September,19.45,2022
Hungerford,Dry,2,Nitrate,October,58.76,2022
Hungerford,Dry,2,Nitrate,November,20.33,2022
Hungerford,Dry,2,Nitrate,December,,2022
Hungerford,Dry,2,Nitrate,January,,2023
Hungerford,Dry,2,Nitrate,February,,2023
Hungerford,Dry,2,Nitrate,March,,2023
Hungerford,Dry,2,Nitrate,April,,2023
Hungerford,Dry,2,Nitrate,May,,2023
Hungerford,Wet,1,Ammonium,December,1.74,2021
Hungerford,Wet,1,Ammonium,January,,2022
Hungerford,Wet,1,Ammonium,February,,2022
Hungerford,Wet,1,Ammonium,March,,2022
Hungerford,Wet,1,Ammonium,April,14.81,2022
Hungerford,Wet,1,Ammonium,May,12.43,2022
Hungerford,Wet,1,Ammonium,June,6.93,2022
Hungerford,Wet,1,Ammonium,July,6.65,2022
Hungerford,Wet,1,Ammonium,August,7.18,2022
Hungerford,Wet,1,Ammonium,September,24.23,2022
Hungerford,Wet,1,Ammonium,October,8.62,2022
Hungerford,Wet,1,Ammonium,November,2.61,2022
Hungerford,Wet,1,Ammonium,December,3.71,2022
Hungerford,Wet,1,Ammonium,January,3.71,2023
Hungerford,Wet,1,Ammonium,February,9.32,2023
Hungerford,Wet,1,Ammonium,March,5.35,2023
Hungerford,Wet,1,Ammonium,April,5.35,2023
Hungerford,Wet,1,Ammonium,May,4.77,2023
Hungerford,Wet,1,Nitrate,December,32.24,2021
Hungerford,Wet,1,Nitrate,January,,2022
Hungerford,Wet,1,Nitrate,February,,2022
Hungerford,Wet,1,Nitrate,March,,2022
Hungerford,Wet,1,Nitrate,April,-0.13,2022
Hungerford,Wet,1,Nitrate,May,15.87,2022
Hungerford,Wet,1,Nitrate,June,13.52,2022
Hungerford,Wet,1,Nitrate,July,6.26,2022
Hungerford,Wet,1,Nitrate,August,97.6,2022
Hungerford,Wet,1,Nitrate,September,27.3,2022
Hungerford,Wet,1,Nitrate,October,239.53,2022
Hungerford,Wet,1,Nitrate,November,34.75,2022
Hungerford,Wet,1,Nitrate,December,0.9,2022
